0.00026582,0.945,1.501,9,4,0.01,0.2
0.0069525,2.137,0.75049,3,2,0.01,0.5
5.4947E-12,0.011,0.5236,9,4,0.001,0.6
2.5987E-10,0.03,1.5533,4,3,0.0001,2.7
8.0264E-11,0.022,1.0996,4,3,0.0001,3.4
7.2246E-05,0.682,1.0297,9,4,0.01,4.3
8.9785E-06,0.405,0.59341,9,4,0.01,4.8
0.00067877,1.195,1.2915,3,2,0.001,5.5
1.3026E-16,0.001,1.2915,9,4,0.0001,7.2
0.0028156,1.705,0.59341,3,2,0.01,9.9
7.2136E-11,0.022,1.0297,9,4,0.001,10.7
1.3956E-10,0.025,1.2392,9,4,0.001,15.6
2.712E-07,0.169,0.54105,3,2,0.0001,16.8
0.0089815,2.278,0.80285,3,2,0.01,17.2
1.6195E-11,0.015,0.71558,4,3,0.0001,20.5
0.025569,2.959,1.0647,3,2,0.01,20.6
4.8705E-05,0.618,0.92502,9,4,0.01,21.2
0.074284,3.864,1.4486,3,2,0.01,23.8
0.018213,2.719,1.5184,4,3,0.01,26.1
1.0225E-10,0.024,1.1345,9,4,0.001,27.1
6.2049E-18,0.001,1.0821,9,4,0.0001,28.4
0.045995,3.427,1.2566,3,2,0.01,29.4
9.5938E-07,0.232,0.75049,3,2,0.0001,31.5
0.033906,3.176,1.1519,3,2,0.01,34.8
0.012724,2.486,1.3614,4,3,0.01,36.8
1.0821E-06,0.239,1.2043,4,3,0.001,39.4
1.089E-16,0.001,1.2566,9,4,0.0001,39.4
1.6491E-06,0.265,1.3614,4,3,0.001,40.6
2.217E-11,0.016,0.75049,9,4,0.001,42.3
2.7585E-10,0.03,1.5184,9,4,0.001,42.3
0.0012489,1.391,1.5533,3,2,0.001,43.1
1.5216E-11,0.015,0.68068,9,4,0.001,43.4
0.00017653,0.853,1.3265,9,4,0.01,43.6
4.6355E-17,0.001,1.1519,9,4,0.0001,51.4
0.00071066,1.208,1.309,3,2,0.001,52.2
0.00025597,0.936,1.4835,9,4,0.01,52.7
0.00012061,0.776,0.80285,3,2,0.001,56.3
0.030386,3.09,1.117,3,2,0.01,57.4
6.602E-07,0.211,0.68068,3,2,0.0001,59
2.8636E-11,0.017,0.80285,9,4,0.001,59.3
0.00015382,0.824,1.2741,9,4,0.01,59.4
1.3443E-06,0.252,0.8203,3,2,0.0001,59.5
1.1152E-11,0.014,0.62832,9,4,0.001,60.7
0.00013082,0.791,0.8203,3,2,0.001,61.2
0.00016118,0.834,1.2915,9,4,0.01,64.9
5.3622E-08,0.113,0.54105,4,3,0.001,65.7
8.1534E-05,0.703,1.0647,9,4,0.01,66.5
1.2833E-05,0.443,1.5533,3,2,0.0001,67.3
7.6825E-08,0.123,0.59341,4,3,0.001,68.4
0.0042051,1.885,0.99484,4,3,0.01,72.4
5.9689E-05,0.651,0.97738,9,4,0.01,75.2
0.015274,2.602,0.92502,3,2,0.01,75.8
0,0,0.7854,9,4,0.0001,78.8
0.037678,3.261,1.1868,3,2,0.01,80.8
0.00022763,0.909,1.4312,9,4,0.01,84.3
9.1577E-11,0.023,1.0996,9,4,0.001,86.3
0.017549,2.694,1.501,4,3,0.01,91.3
0,0,1.0297,9,4,0.0001,93.2
3.6339E-05,0.575,0.85521,9,4,0.01,95.2
2.4482E-06,0.293,1.5359,4,3,0.001,97.5
6.347E-06,0.371,1.2566,3,2,0.0001,98.5
1.5184E-16,0.001,1.3265,9,4,0.0001,101.1
1.6815E-11,0.015,0.69813,9,4,0.001,104.3
